l1,l2,l3,Actual pose x,Actual pose y,Actual pose z,Actual pose roll,Actual pose pitch,Actual pose yaw,IMU roll,IMU pitch,IMU yaw,Pot 1 distance,Pot 2 distance,Pot 3 distance,Pot 4 distance,Pot 5 distance,Pot 6 distance,Estimated pose x,Estimated pose y,Estimated pose z,Estimated pose roll,Estimated pose pitch,Estimated pose yaw
-70.0,23.33333333333333,-70.0,14.54611080794075,-25.19460297188013,105.85903104481069,3.606441463715145,14.804506388235527,27.243515958724984,3.655260258136229,14.809803781812525,27.412126599269246,102.39195602875479,161.20643628843342,107.58172807181961,214.2414185300699,136.67302645182724,138.1449285579221,17,-29,104,5,14,28
-70.0,23.33333333333333,-54.44444444444444,17.821933847843468,-22.048924938283108,111.5531422768679,3.565560692839512,17.46586128826641,22.909134331013384,3.6149705416246873,17.55695692281055,22.917608670363506,106.82751122762149,158.48522556216267,112.76669021781717,215.48928125885698,151.7098442804219,136.08796697662984,17,-21,112,4,19,23
-70.0,23.33333333333333,-38.888888888888886,21.31877046154733,-18.46259679714933,117.00095856366515,3.318657424500464,20.145777211293186,18.524196058299697,3.4418372031147495,20.093426263327082,18.542213167437648,113.33634245940543,154.40116287354942,121.63510755835489,213.44060744686988,163.04637503265576,132.52854153497967,21,-20,116,4,20,18
-70.0,23.33333333333333,-23.333333333333336,25.024030172226077,-14.447630556144034,122.15994912756297,2.853723748050223,22.829198040778547,14.066150797315778,2.542679686207542,22.858921690536935,14.145965127106118,117.85919236509507,151.4596142829149,128.03177464679024,213.06841224437733,176.31992525492967,131.4469706761492,24,-14,121,3,22,14
-70.0,23.33333333333333,-7.777777777777779,28.923331876184648,-10.019336066745652,126.9888452703195,2.1567322429709512,25.500080062893815,9.510582269746532,2.1560842817222974,25.376377185325026,9.417711887636356,122.02185444208949,149.86650520383597,135.75582259943542,215.0903316932729,191.17717651322533,130.03148431219697,28,-10,129,3,26,9
-70.0,23.33333333333333,7.7777777777777715,33.000578144095954,-5.196243456792843,131.44797019885706,1.2115489263005754,28.141105921270736,4.831207430920024,1.2895899935014175,28.104529941173553,4.938028707854538,125.17763008051278,145.92343686720292,141.58619272445944,214.4538671191956,204.01664577059316,127.08489988924036,32,-8,130,2,28,4
-70.0,23.33333333333333,23.33333333333333,37.23804366832829,0.0,135.49955973735769,0.0,30.733368321193574,0.0,-0.2565271210313799,30.94595279167811,-0.1040980396228896,125.23280776373859,145.62612994253394,146.90922036152097,219.56732717305607,218.2501068592383,127.06454808130928,39,0,135,1,31,1
-70.0,23.33333333333333,38.888888888888886,41.61647731065045,5.544757933391072,139.10807134718385,-1.4978216670677291,33.25603578030003,-5.012469843622729,-1.467003908497071,33.294619879164024,-4.9129468990628515,127.45922655141842,144.06737588471992,151.17338544999754,221.2724830889714,231.8684473070248,125.59893512249356,41,9,139,-1,33,-5
-70.0,23.33333333333333,54.44444444444444,46.115217093586494,11.410557001165792,142.24047895354317,-3.302889932126077,35.686024315791435,-10.236354218317002,-3.38912889699164,35.7628759067365,-10.1102171468288,128.17969853631692,140.49306772026847,156.06876748762218,223.97362942531169,247.06606203698448,123.05840337905896,48,13,140,-3,36,-10
-70.0,23.33333333333333,70.0,50.712317372167746,17.567262051630472,144.86655117538177,-5.436063403185857,37.99771687915461,-15.701345376699951,-5.48822785769848,38.002460522626244,-15.862705382497982,129.04895200051314,140.12680296065787,159.98248618889264,231.14472275937132,262.4315569793758,121.7494064903892,56,12,145,-5,39,-15
-70.0,38.888888888888886,-70.0,17.60841812477318,-30.498674833023813,108.852827957302,4.923226812750772,17.0299891458273,32.04144363610486,5.047730436751737,17.139209736806844,31.939555056582055,98.4624128126695,167.62412711004677,106.22987880304764,228.81859499065035,142.7502760265788,140.36600087644192,20,-30,107,6,16,33
-70.0,38.888888888888886,-54.44444444444444,21.105843924071664,-27.417295509833252,114.6418276429053,4.918372119668186,19.72252942058931,27.755491833269602,4.831551035548014,19.549680081142828,27.61068025650695,105.6407704762212,164.292003683358,112.79448649051747,228.76106728352477,154.90741455436225,136.71588393826983,22,-30,112,6,19,28
-70.0,38.888888888888886,-38.888888888888886,24.82394964841862,-23.886856686440325,120.18812471686029,4.708199587242101,22.44043273969515,23.41609301717771,4.6750146960915995,22.40030075954256,23.33219960555461,111.5380571786672,163.22077282164707,117.6619165031492,227.15365942365682,169.3821481106627,134.6079280014504,18,-23,122,4,23,23
-70.0,38.888888888888886,-23.333333333333336,28.749726448388287,-19.91839476492612,125.44882040963627,4.278830652681017,25.16911131837021,18.999530193140973,4.377391507210946,25.13402155880933,18.9614637172296,114.26695053919434,155.41144557978254,124.9858352652931,227.68372198031068,180.93597132542416,133.47639141145913,29,-16,126,3,25,19
-70.0,38.888888888888886,-7.777777777777779,32.868367035095616,-15.526276818165712,130.3822009875433,3.613877594209558,27.8929179037865,14.479657606954339,3.468390268396467,27.948421321707595,14.561198007229784,118.73715040222517,154.02403286604087,131.41888816018513,229.3725470456282,194.77780067887076,131.69223841917818,33,-16,131,3,28,15
-70.0,38.888888888888886,7.7777777777777715,37.16333982453315,-10.72813212583987,134.94806985752734,2.6942051114612835,30.594821989062925,9.827752723817888,2.8504322378447986,30.564434592459378,9.951793363370172,121.85127260800925,152.02293517319285,137.7873873264388,230.35176226738085,206.4852321302477,130.9032908922088,37,-10,135,3,30,11
-70.0,38.888888888888886,23.33333333333333,41.616477310650424,-5.544757933391075,139.10807134718388,1.497821667067728,33.25603578030003,5.0124698436227275,1.6397140186447867,33.2471495721576,5.030823485705827,123.59877928538906,149.30898172531934,144.0695890761349,231.41439788414763,221.21932139655325,126.79471790489943,40,-3,137,2,33,5
-70.0,38.888888888888886,38.888888888888886,46.20807813634744,0.0,142.82600356181024,0.0,35.85559637472585,0.0,0.08787422772416169,35.82976280174707,-0.020642747300151768,127.89905522404747,147.89414427763617,148.79496618839536,234.9374060808614,235.09368000530924,127.52615624901819,44,2,142,-1,35,-1
-70.0,38.888888888888886,54.44444444444444,50.91702221971036,5.879391296976788,146.06811779068585,-1.8262213714129973,38.36992256674299,-5.24540649922502,-1.8553729326979187,38.23708103496488,-5.327620413311617,128.58138863346937,146.6733501091095,153.42654477781346,237.59112943903236,248.5817486502296,125.05230529432356,49,3,146,-2,38,-6
-70.0,38.888888888888886,70.0,55.72089818527968,12.063928337534605,148.80340202547688,-4.008939689418224,40.77238543053438,-10.76033509449395,-3.9982609920883276,40.71562023182954,-10.707442123659543,128.55963429759004,145.43149086778914,157.99890079992596,244.05885651693117,263.47346280243903,125.4527589226368,60,5,150,-4,41,-10
